gene	KO	pathway	description
Ag_02568	K04713	map00600	Sphingolipid metabolism
Ag_02568	K04713	map01100	Metabolic pathways
Ag_02571	K02905	map03010	Ribosome
Ag_02575	K11272	map04111	Cell cycle - yeast
Ag_02579	K01915	map00220	Arginine biosynthesis
Ag_02579	K01915	map00250	Alanine, aspartate and glutamate metabolism
Ag_02579	K01915	map00630	Glyoxylate and dicarboxylate metabolism
Ag_02579	K01915	map00910	Nitrogen metabolism
Ag_02579	K01915	map01100	Metabolic pathways
Ag_02579	K01915	map01230	Biosynthesis of amino acids
Ag_02580	K02925	map03010	Ribosome
Ag_02585	K02993	map03010	Ribosome
Ag_02589	K12879	map03013	RNA transport
Ag_02589	K12879	map03040	Spliceosome
Ag_02590	K01495	map00790	Folate biosynthesis
Ag_02590	K01495	map01100	Metabolic pathways
Ag_02590	K01495	map01240	Biosynthesis of cofactors
Ag_02592	K06653	map04111	Cell cycle - yeast
Ag_02594	K03111	map03030	DNA replication
Ag_02594	K03111	map03430	Mismatch repair
Ag_02594	K03111	map03440	Homologous recombination
Ag_02597	K14416	map03015	mRNA surveillance pathway
Ag_02602	K02725	map03050	Proteasome
Ag_02603	K02259	map00190	Oxidative phosphorylation
Ag_02603	K02259	map00860	Porphyrin and chlorophyll metabolism
Ag_02603	K02259	map01100	Metabolic pathways
Ag_02603	K02259	map01110	Biosynthesis of secondary metabolites
Ag_02603	K02259	map01240	Biosynthesis of cofactors
Ag_02606	K00844	map00010	Glycolysis / Gluconeogenesis
Ag_02606	K00844	map00051	Fructose and mannose metabolism
Ag_02606	K00844	map00052	Galactose metabolism
Ag_02606	K00844	map00500	Starch and sucrose metabolism
Ag_02606	K00844	map00520	Amino sugar and nucleotide sugar metabolism
Ag_02606	K00844	map01100	Metabolic pathways
Ag_02606	K00844	map01110	Biosynthesis of secondary metabolites
Ag_02606	K00844	map01200	Carbon metabolism
Ag_02609	K02138	map00190	Oxidative phosphorylation
Ag_02609	K02138	map01100	Metabolic pathways
Ag_02611	K04564	map04146	Peroxisome
Ag_02612	K12668	map00510	N-Glycan biosynthesis
Ag_02612	K12668	map00513	Various types of N-glycan biosynthesis
Ag_02612	K12668	map01100	Metabolic pathways
Ag_02612	K12668	map04141	Protein processing in endoplasmic reticulum
Ag_02615	K01599	map00860	Porphyrin and chlorophyll metabolism
Ag_02615	K01599	map01100	Metabolic pathways
Ag_02615	K01599	map01110	Biosynthesis of secondary metabolites
Ag_02615	K01599	map01240	Biosynthesis of cofactors
Ag_02620	K12580	map03018	RNA degradation
Ag_02621	K02935	map03010	Ribosome
Ag_02622	K00109	map00650	Butanoate metabolism
Ag_02622	K00109	map01100	Metabolic pathways
Ag_02623	K11352	map00190	Oxidative phosphorylation
Ag_02623	K11352	map01100	Metabolic pathways
Ag_02624	K11237	map04011	MAPK signaling pathway - yeast
Ag_02642	K11099	map03040	Spliceosome
Ag_02645	K12897	map03040	Spliceosome
Ag_02647	K17774	map04139	Mitophagy - yeast
Ag_02652	K01702	map00290	Valine, leucine and isoleucine biosynthesis
Ag_02652	K01702	map01100	Metabolic pathways
Ag_02652	K01702	map01110	Biosynthesis of secondary metabolites
Ag_02652	K01702	map01210	2-Oxocarboxylic acid metabolism
Ag_02652	K01702	map01230	Biosynthesis of amino acids
Ag_02660	K09051	map04011	MAPK signaling pathway - yeast
Ag_02663	K02510	map00350	Tyrosine metabolism
Ag_02663	K02510	map01100	Metabolic pathways
Ag_02664	K00480	map01100	Metabolic pathways
Ag_02675	K00211	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_02675	K00211	map01100	Metabolic pathways
Ag_02675	K00211	map01110	Biosynthesis of secondary metabolites
Ag_02675	K00211	map01230	Biosynthesis of amino acids
Ag_02677	K06639	map04111	Cell cycle - yeast
Ag_02677	K06639	map04113	Meiosis - yeast
Ag_02685	K06647	map04111	Cell cycle - yeast
Ag_02700	K03948	map00190	Oxidative phosphorylation
Ag_02700	K03948	map01100	Metabolic pathways
Ag_02701	K00062	map00053	Ascorbate and aldarate metabolism
Ag_02703	K08678	map00520	Amino sugar and nucleotide sugar metabolism
Ag_02703	K08678	map01100	Metabolic pathways
Ag_02706	K19838	map04011	MAPK signaling pathway - yeast
Ag_02709	K14303	map03013	RNA transport
Ag_02717	K14168	map04122	Sulfur relay system
Ag_02720	K11233	map04011	MAPK signaling pathway - yeast
Ag_02720	K11233	map04139	Mitophagy - yeast
Ag_02723	K01756	map00230	Purine metabolism
Ag_02723	K01756	map00250	Alanine, aspartate and glutamate metabolism
Ag_02723	K01756	map01100	Metabolic pathways
Ag_02723	K01756	map01110	Biosynthesis of secondary metabolites
Ag_02723	K01756	map01240	Biosynthesis of cofactors
Ag_02724	K09540	map03060	Protein export
Ag_02724	K09540	map04141	Protein processing in endoplasmic reticulum
Ag_02726	K02874	map03010	Ribosome
Ag_02729	K02604	map04111	Cell cycle - yeast
Ag_02729	K02604	map04113	Meiosis - yeast
Ag_02730	K00121	map00010	Glycolysis / Gluconeogenesis
Ag_02730	K00121	map00071	Fatty acid degradation
Ag_02730	K00121	map00350	Tyrosine metabolism
Ag_02730	K00121	map00620	Pyruvate metabolism
Ag_02730	K00121	map00680	Methane metabolism
Ag_02730	K00121	map01100	Metabolic pathways
Ag_02730	K00121	map01110	Biosynthesis of secondary metabolites
Ag_02730	K00121	map01200	Carbon metabolism
Ag_02739	K09567	map03040	Spliceosome
Ag_02740	K17066	map00680	Methane metabolism
Ag_02740	K17066	map01100	Metabolic pathways
Ag_02740	K17066	map01200	Carbon metabolism
Ag_02755	K14538	map03008	Ribosome biogenesis in eukaryotes
Ag_02756	K12897	map03040	Spliceosome
Ag_02757	K02883	map03010	Ribosome
Ag_02762	K13519	map00561	Glycerolipid metabolism
Ag_02762	K13519	map00564	Glycerophospholipid metabolism
Ag_02762	K13519	map00565	Ether lipid metabolism
Ag_02762	K13519	map01100	Metabolic pathways
Ag_02762	K13519	map01110	Biosynthesis of secondary metabolites
Ag_02764	K09829	map00100	Steroid biosynthesis
Ag_02764	K09829	map01100	Metabolic pathways
Ag_02764	K09829	map01110	Biosynthesis of secondary metabolites
Ag_02766	K08288	map04141	Protein processing in endoplasmic reticulum
Ag_02767	K02975	map03010	Ribosome
Ag_02768	K14309	map03013	RNA transport
Ag_02769	K02938	map03010	Ribosome
Ag_02780	K03250	map03013	RNA transport
Ag_02782	K02730	map03050	Proteasome
Ag_02783	K03018	map03020	RNA polymerase
Ag_02797	K14560	map03008	Ribosome biogenesis in eukaryotes
Ag_02802	K01904	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_02802	K01904	map01100	Metabolic pathways
Ag_02802	K01904	map01110	Biosynthesis of secondary metabolites
Ag_02824	K09478	map00071	Fatty acid degradation
Ag_02824	K09478	map00280	Valine, leucine and isoleucine degradation
Ag_02824	K09478	map01100	Metabolic pathways
Ag_02824	K09478	map01110	Biosynthesis of secondary metabolites
Ag_02824	K09478	map01212	Fatty acid metabolism
Ag_02825	K16794	map00565	Ether lipid metabolism
Ag_02825	K16794	map01100	Metabolic pathways
Ag_02831	K00505	map00350	Tyrosine metabolism
Ag_02831	K00505	map01100	Metabolic pathways
Ag_02831	K00505	map01110	Biosynthesis of secondary metabolites
Ag_02835	K14565	map03008	Ribosome biogenesis in eukaryotes
Ag_02846	K02183	map04070	Phosphatidylinositol signaling system
Ag_02854	K03135	map03022	Basal transcription factors
Ag_03026	K12493	map04144	Endocytosis
Ag_03028	K11827	map04144	Endocytosis
Ag_03038	K08658	map00900	Terpenoid backbone biosynthesis
Ag_03038	K08658	map01110	Biosynthesis of secondary metabolites
Ag_03039	K00698	map00520	Amino sugar and nucleotide sugar metabolism
Ag_03039	K00698	map01100	Metabolic pathways
Ag_03045	K13348	map04146	Peroxisome
Ag_03053	K07824	map01100	Metabolic pathways
Ag_03055	K07824	map01100	Metabolic pathways
Ag_03090	K05292	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Ag_03090	K05292	map01100	Metabolic pathways
Ag_03091	K14575	map03008	Ribosome biogenesis in eukaryotes
Ag_03092	K04649	map04120	Ubiquitin mediated proteolysis
Ag_03133	K12605	map03018	RNA degradation
Ag_03137	K01194	map00500	Starch and sucrose metabolism
Ag_03137	K01194	map01100	Metabolic pathways
Ag_03137	K01194	map01110	Biosynthesis of secondary metabolites
Ag_03139	K12822	map03040	Spliceosome
Ag_03146	K00765	map00340	Histidine metabolism
Ag_03146	K00765	map01100	Metabolic pathways
Ag_03146	K00765	map01110	Biosynthesis of secondary metabolites
Ag_03146	K00765	map01230	Biosynthesis of amino acids
Ag_03150	K01046	map00561	Glycerolipid metabolism
Ag_03150	K01046	map01100	Metabolic pathways
Ag_03157	K02732	map03050	Proteasome
Ag_03174	K00467	map00620	Pyruvate metabolism
Ag_03174	K00467	map01100	Metabolic pathways
Ag_03175	K03844	map00510	N-Glycan biosynthesis
Ag_03175	K03844	map00513	Various types of N-glycan biosynthesis
Ag_03175	K03844	map01100	Metabolic pathways
Ag_03179	K12471	map04144	Endocytosis
Ag_03182	K12373	map00511	Other glycan degradation
Ag_03182	K12373	map00513	Various types of N-glycan biosynthesis
Ag_03182	K12373	map00520	Amino sugar and nucleotide sugar metabolism
Ag_03182	K12373	map00531	Glycosaminoglycan degradation
Ag_03182	K12373	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_03182	K12373	map00604	Glycosphingolipid biosynthesis - ganglio series
Ag_03182	K12373	map01100	Metabolic pathways
Ag_03202	K02155	map00190	Oxidative phosphorylation
Ag_03202	K02155	map01100	Metabolic pathways
Ag_03202	K02155	map04145	Phagosome
Ag_03219	K15371	map00220	Arginine biosynthesis
Ag_03219	K15371	map00250	Alanine, aspartate and glutamate metabolism
Ag_03219	K15371	map00430	Taurine and hypotaurine metabolism
Ag_03219	K15371	map00910	Nitrogen metabolism
Ag_03219	K15371	map01100	Metabolic pathways
Ag_03234	K12591	map03018	RNA degradation
Ag_03243	K02931	map03010	Ribosome
Ag_03245	K12373	map00511	Other glycan degradation
Ag_03245	K12373	map00513	Various types of N-glycan biosynthesis
Ag_03245	K12373	map00520	Amino sugar and nucleotide sugar metabolism
Ag_03245	K12373	map00531	Glycosaminoglycan degradation
Ag_03245	K12373	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_03245	K12373	map00604	Glycosphingolipid biosynthesis - ganglio series
Ag_03245	K12373	map01100	Metabolic pathways
Ag_03246	K00601	map00230	Purine metabolism
Ag_03246	K00601	map00670	One carbon pool by folate
Ag_03246	K00601	map01100	Metabolic pathways
Ag_03246	K00601	map01110	Biosynthesis of secondary metabolites
Ag_03255	K01183	map00520	Amino sugar and nucleotide sugar metabolism
Ag_03255	K01183	map01100	Metabolic pathways
Ag_03268	K02893	map03010	Ribosome
Ag_03289	K02941	map03010	Ribosome
Ag_03290	K00697	map00500	Starch and sucrose metabolism
Ag_03290	K00697	map01100	Metabolic pathways
Ag_03290	K00697	map01110	Biosynthesis of secondary metabolites
Ag_03299	K03236	map03013	RNA transport
Ag_03304	K03540	map03013	RNA transport
Ag_03307	K03236	map03013	RNA transport
Ag_03331	K06691	map03050	Proteasome
Ag_03338	K01568	map00010	Glycolysis / Gluconeogenesis
Ag_03338	K01568	map01100	Metabolic pathways
Ag_03338	K01568	map01110	Biosynthesis of secondary metabolites
Ag_03344	K04802	map03030	DNA replication
Ag_03344	K04802	map03410	Base excision repair
Ag_03344	K04802	map03420	Nucleotide excision repair
Ag_03344	K04802	map03430	Mismatch repair
Ag_03348	K06672	map04111	Cell cycle - yeast
Ag_03358	K00511	map00100	Steroid biosynthesis
Ag_03358	K00511	map00909	Sesquiterpenoid and triterpenoid biosynthesis
Ag_03358	K00511	map01100	Metabolic pathways
Ag_03358	K00511	map01110	Biosynthesis of secondary metabolites
Ag_03360	K01489	map00240	Pyrimidine metabolism
Ag_03360	K01489	map01100	Metabolic pathways
Ag_03363	K03123	map03022	Basal transcription factors
Ag_03373	K03953	map00190	Oxidative phosphorylation
Ag_03373	K03953	map01100	Metabolic pathways
Ag_03380	K02950	map03010	Ribosome
Ag_03391	K03347	map04111	Cell cycle - yeast
Ag_03391	K03347	map04120	Ubiquitin mediated proteolysis
Ag_03391	K03347	map04141	Protein processing in endoplasmic reticulum
Ag_03393	K03183	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_03393	K03183	map01100	Metabolic pathways
Ag_03393	K03183	map01110	Biosynthesis of secondary metabolites
Ag_03393	K03183	map01240	Biosynthesis of cofactors
Ag_03398	K00166	map00280	Valine, leucine and isoleucine degradation
Ag_03398	K00166	map00640	Propanoate metabolism
Ag_03398	K00166	map01100	Metabolic pathways
Ag_03398	K00166	map01110	Biosynthesis of secondary metabolites
Ag_03404	K12856	map03040	Spliceosome
Ag_03410	K10364	map04144	Endocytosis
Ag_03414	K01001	map00510	N-Glycan biosynthesis
Ag_03414	K01001	map01100	Metabolic pathways
Ag_03415	K01637	map00630	Glyoxylate and dicarboxylate metabolism
Ag_03415	K01637	map01100	Metabolic pathways
Ag_03415	K01637	map01110	Biosynthesis of secondary metabolites
Ag_03415	K01637	map01200	Carbon metabolism
Ag_03428	K10684	map04120	Ubiquitin mediated proteolysis
Ag_03430	K01115	map00564	Glycerophospholipid metabolism
Ag_03430	K01115	map00565	Ether lipid metabolism
Ag_03430	K01115	map01100	Metabolic pathways
Ag_03430	K01115	map01110	Biosynthesis of secondary metabolites
Ag_03430	K01115	map04144	Endocytosis
Ag_03431	K01176	map00500	Starch and sucrose metabolism
Ag_03431	K01176	map01100	Metabolic pathways
Ag_03431	K01176	map01110	Biosynthesis of secondary metabolites
Ag_03443	K02147	map00190	Oxidative phosphorylation
Ag_03443	K02147	map01100	Metabolic pathways
Ag_03443	K02147	map04145	Phagosome
Ag_03448	K01061	map01100	Metabolic pathways
Ag_03450	K01485	map00240	Pyrimidine metabolism
Ag_03450	K01485	map00330	Arginine and proline metabolism
Ag_03450	K01485	map01100	Metabolic pathways
Ag_03456	K01626	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_03456	K01626	map01100	Metabolic pathways
Ag_03456	K01626	map01110	Biosynthesis of secondary metabolites
Ag_03456	K01626	map01230	Biosynthesis of amino acids
Ag_03481	K05658	map02010	ABC transporters
Ag_03485	K14536	map03008	Ribosome biogenesis in eukaryotes
Ag_03490	K14569	map03008	Ribosome biogenesis in eukaryotes
Ag_03497	K20195	map04138	Autophagy - yeast
Ag_03507	K01824	map00100	Steroid biosynthesis
Ag_03507	K01824	map01100	Metabolic pathways
Ag_03507	K01824	map01110	Biosynthesis of secondary metabolites
Ag_03525	K12880	map03013	RNA transport
Ag_03525	K12880	map03040	Spliceosome
Ag_03526	K00228	map00860	Porphyrin and chlorophyll metabolism
Ag_03526	K00228	map01100	Metabolic pathways
Ag_03526	K00228	map01110	Biosynthesis of secondary metabolites
Ag_03526	K00228	map01240	Biosynthesis of cofactors
Ag_03527	K01923	map00230	Purine metabolism
Ag_03527	K01923	map01100	Metabolic pathways
Ag_03527	K01923	map01110	Biosynthesis of secondary metabolites
Ag_03531	K01738	map00270	Cysteine and methionine metabolism
Ag_03531	K01738	map00920	Sulfur metabolism
Ag_03531	K01738	map01100	Metabolic pathways
Ag_03531	K01738	map01110	Biosynthesis of secondary metabolites
Ag_03531	K01738	map01200	Carbon metabolism
Ag_03531	K01738	map01230	Biosynthesis of amino acids
Ag_03533	K03065	map03050	Proteasome
Ag_03535	K03681	map03018	RNA degradation
Ag_03536	K12185	map04144	Endocytosis
Ag_03544	K03365	map00240	Pyrimidine metabolism
Ag_03544	K03365	map00330	Arginine and proline metabolism
Ag_03544	K03365	map01100	Metabolic pathways
Ag_03547	K07748	map00100	Steroid biosynthesis
Ag_03547	K07748	map01100	Metabolic pathways
Ag_03547	K07748	map01110	Biosynthesis of secondary metabolites
Ag_03550	K01164	map03008	Ribosome biogenesis in eukaryotes
Ag_03550	K01164	map03013	RNA transport
Ag_03559	K02146	map00190	Oxidative phosphorylation
Ag_03559	K02146	map01100	Metabolic pathways
Ag_03559	K02146	map04145	Phagosome
Ag_03567	K12813	map03040	Spliceosome
Ag_03569	K01183	map00520	Amino sugar and nucleotide sugar metabolism
Ag_03569	K01183	map01100	Metabolic pathways
Ag_03571	K02321	map03030	DNA replication
Ag_03578	K13993	map04141	Protein processing in endoplasmic reticulum
Ag_03589	K02155	map00190	Oxidative phosphorylation
Ag_03589	K02155	map01100	Metabolic pathways
Ag_03589	K02155	map04145	Phagosome
Ag_03595	K08866	map04111	Cell cycle - yeast
Ag_03601	K02966	map03010	Ribosome
Ag_03609	K11778	map00900	Terpenoid backbone biosynthesis
Ag_03609	K11778	map01110	Biosynthesis of secondary metabolites
Ag_03610	K12412	map04011	MAPK signaling pathway - yeast
Ag_03610	K12412	map04111	Cell cycle - yeast
Ag_03635	K12581	map03018	RNA degradation
Ag_03643	K01487	map00230	Purine metabolism
Ag_03643	K01487	map01100	Metabolic pathways
Ag_03684	K08337	map04136	Autophagy - other
Ag_03684	K08337	map04138	Autophagy - yeast
Ag_03686	K03029	map03050	Proteasome
Ag_03688	K13800	map00240	Pyrimidine metabolism
Ag_03688	K13800	map01100	Metabolic pathways
Ag_03688	K13800	map01240	Biosynthesis of cofactors
Ag_03696	K11128	map03008	Ribosome biogenesis in eukaryotes
Ag_03697	K13339	map04146	Peroxisome
Ag_03698	K01113	map00790	Folate biosynthesis
Ag_03698	K01113	map01100	Metabolic pathways
Ag_03698	K01113	map01240	Biosynthesis of cofactors
Ag_03707	K18693	map00561	Glycerolipid metabolism
Ag_03707	K18693	map00564	Glycerophospholipid metabolism
Ag_03707	K18693	map01110	Biosynthesis of secondary metabolites
Ag_03708	K01580	map00250	Alanine, aspartate and glutamate metabolism
Ag_03708	K01580	map00410	beta-Alanine metabolism
Ag_03708	K01580	map00430	Taurine and hypotaurine metabolism
Ag_03708	K01580	map00650	Butanoate metabolism
Ag_03708	K01580	map01100	Metabolic pathways
Ag_03708	K01580	map01110	Biosynthesis of secondary metabolites
Ag_03709	K02328	map03030	DNA replication
Ag_03709	K02328	map03410	Base excision repair
Ag_03709	K02328	map03420	Nucleotide excision repair
Ag_03709	K02328	map03430	Mismatch repair
Ag_03709	K02328	map03440	Homologous recombination
Ag_03710	K12188	map04144	Endocytosis
Ag_03713	K08991	map03440	Homologous recombination
Ag_03715	K00784	map03013	RNA transport
Ag_03717	K01228	map00510	N-Glycan biosynthesis
Ag_03717	K01228	map01100	Metabolic pathways
Ag_03717	K01228	map04141	Protein processing in endoplasmic reticulum
Ag_03719	K08341	map04136	Autophagy - other
Ag_03719	K08341	map04138	Autophagy - yeast
Ag_03719	K08341	map04139	Mitophagy - yeast
Ag_03721	K00616	map00030	Pentose phosphate pathway
Ag_03721	K00616	map01100	Metabolic pathways
Ag_03721	K00616	map01110	Biosynthesis of secondary metabolites
Ag_03721	K00616	map01200	Carbon metabolism
Ag_03721	K00616	map01230	Biosynthesis of amino acids
Ag_03724	K10259	map04111	Cell cycle - yeast
Ag_03724	K10259	map04120	Ubiquitin mediated proteolysis
Ag_03728	K06134	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_03728	K06134	map01100	Metabolic pathways
Ag_03728	K06134	map01110	Biosynthesis of secondary metabolites
Ag_03728	K06134	map01240	Biosynthesis of cofactors
Ag_03732	K11238	map04011	MAPK signaling pathway - yeast
Ag_03734	K17989	map00260	Glycine, serine and threonine metabolism
Ag_03734	K17989	map00270	Cysteine and methionine metabolism
Ag_03734	K17989	map00290	Valine, leucine and isoleucine biosynthesis
Ag_03734	K17989	map01100	Metabolic pathways
Ag_03734	K17989	map01110	Biosynthesis of secondary metabolites
Ag_03734	K17989	map01200	Carbon metabolism
Ag_03734	K17989	map01230	Biosynthesis of amino acids
Ag_03737	K00615	map00030	Pentose phosphate pathway
Ag_03737	K00615	map01100	Metabolic pathways
Ag_03737	K00615	map01110	Biosynthesis of secondary metabolites
Ag_03737	K00615	map01200	Carbon metabolism
Ag_03737	K00615	map01230	Biosynthesis of amino acids
Ag_03738	K00417	map00190	Oxidative phosphorylation
Ag_03738	K00417	map01100	Metabolic pathways
Ag_03739	K00940	map00230	Purine metabolism
Ag_03739	K00940	map00240	Pyrimidine metabolism
Ag_03739	K00940	map01100	Metabolic pathways
Ag_03739	K00940	map01110	Biosynthesis of secondary metabolites
Ag_03739	K00940	map01240	Biosynthesis of cofactors
Ag_03748	K03943	map00190	Oxidative phosphorylation
Ag_03748	K03943	map01100	Metabolic pathways
Ag_03755	K00565	map03015	mRNA surveillance pathway
Ag_03756	K10591	map04011	MAPK signaling pathway - yeast
Ag_03756	K10591	map04120	Ubiquitin mediated proteolysis
Ag_03756	K10591	map04144	Endocytosis
Ag_03764	K12825	map03040	Spliceosome
Ag_03766	K10578	map04120	Ubiquitin mediated proteolysis
Ag_03766	K10578	map04141	Protein processing in endoplasmic reticulum
Ag_03770	K11124	map03015	mRNA surveillance pathway
Ag_03772	K13137	map03013	RNA transport
Ag_03774	K08736	map03430	Mismatch repair
Ag_03787	K14401	map03015	mRNA surveillance pathway
Ag_03791	K02555	map04011	MAPK signaling pathway - yeast
Ag_03791	K02555	map04111	Cell cycle - yeast
Ag_03794	K03350	map04111	Cell cycle - yeast
Ag_03794	K03350	map04113	Meiosis - yeast
Ag_03794	K03350	map04120	Ubiquitin mediated proteolysis
Ag_03800	K14290	map03008	Ribosome biogenesis in eukaryotes
Ag_03800	K14290	map03013	RNA transport
Ag_03804	K10755	map03030	DNA replication
Ag_03804	K10755	map03420	Nucleotide excision repair
Ag_03804	K10755	map03430	Mismatch repair
Ag_03806	K02967	map03010	Ribosome
Ag_03807	K01657	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_03807	K01657	map01100	Metabolic pathways
Ag_03807	K01657	map01110	Biosynthesis of secondary metabolites
Ag_03807	K01657	map01230	Biosynthesis of amino acids
Ag_03823	K18693	map00561	Glycerolipid metabolism
Ag_03823	K18693	map00564	Glycerophospholipid metabolism
Ag_03823	K18693	map01110	Biosynthesis of secondary metabolites
Ag_03828	K03113	map03013	RNA transport
Ag_03829	K12846	map03040	Spliceosome
Ag_03831	K12883	map03013	RNA transport
Ag_03831	K12883	map03015	mRNA surveillance pathway
Ag_03831	K12883	map03040	Spliceosome
Ag_03832	K03063	map03050	Proteasome
Ag_03834	K00286	map00330	Arginine and proline metabolism
Ag_03834	K00286	map01100	Metabolic pathways
Ag_03834	K00286	map01110	Biosynthesis of secondary metabolites
Ag_03834	K00286	map01230	Biosynthesis of amino acids
Ag_03835	K07432	map00510	N-Glycan biosynthesis
Ag_03835	K07432	map00513	Various types of N-glycan biosynthesis
Ag_03835	K07432	map01100	Metabolic pathways
Ag_03839	K04079	map04141	Protein processing in endoplasmic reticulum
Ag_03841	K00831	map00260	Glycine, serine and threonine metabolism
Ag_03841	K00831	map00270	Cysteine and methionine metabolism
Ag_03841	K00831	map00680	Methane metabolism
Ag_03841	K00831	map00750	Vitamin B6 metabolism
Ag_03841	K00831	map01100	Metabolic pathways
Ag_03841	K00831	map01110	Biosynthesis of secondary metabolites
Ag_03841	K00831	map01200	Carbon metabolism
Ag_03841	K00831	map01230	Biosynthesis of amino acids
Ag_03841	K00831	map01240	Biosynthesis of cofactors
Ag_03846	K03845	map00510	N-Glycan biosynthesis
Ag_03846	K03845	map00513	Various types of N-glycan biosynthesis
Ag_03846	K03845	map01100	Metabolic pathways
Ag_03850	K03858	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Ag_03850	K03858	map01100	Metabolic pathways
Ag_03855	K01755	map00220	Arginine biosynthesis
Ag_03855	K01755	map00250	Alanine, aspartate and glutamate metabolism
Ag_03855	K01755	map01100	Metabolic pathways
Ag_03855	K01755	map01110	Biosynthesis of secondary metabolites
Ag_03855	K01755	map01230	Biosynthesis of amino acids
Ag_03856	K08486	map04130	SNARE interactions in vesicular transport
Ag_03858	K14454	map00220	Arginine biosynthesis
Ag_03858	K14454	map00250	Alanine, aspartate and glutamate metabolism
Ag_03858	K14454	map00270	Cysteine and methionine metabolism
Ag_03858	K14454	map00330	Arginine and proline metabolism
Ag_03858	K14454	map00350	Tyrosine metabolism
Ag_03858	K14454	map00360	Phenylalanine metabolism
Ag_03858	K14454	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_03858	K14454	map01100	Metabolic pathways
Ag_03858	K14454	map01110	Biosynthesis of secondary metabolites
Ag_03858	K14454	map01200	Carbon metabolism
Ag_03858	K14454	map01210	2-Oxocarboxylic acid metabolism
Ag_03858	K14454	map01230	Biosynthesis of amino acids
Ag_03870	K03240	map03013	RNA transport
Ag_03872	K01556	map00380	Tryptophan metabolism
Ag_03872	K01556	map01100	Metabolic pathways
Ag_03872	K01556	map01240	Biosynthesis of cofactors
Ag_03873	K00486	map00380	Tryptophan metabolism
Ag_03873	K00486	map01100	Metabolic pathways
Ag_03873	K00486	map01240	Biosynthesis of cofactors
Ag_03875	K10088	map04141	Protein processing in endoplasmic reticulum
Ag_03878	K12858	map03040	Spliceosome
Ag_03882	K01953	map00250	Alanine, aspartate and glutamate metabolism
Ag_03882	K01953	map01100	Metabolic pathways
Ag_03882	K01953	map01110	Biosynthesis of secondary metabolites
Ag_03882	K01953	map01230	Biosynthesis of amino acids
Ag_03883	K00999	map00562	Inositol phosphate metabolism
Ag_03883	K00999	map00564	Glycerophospholipid metabolism
Ag_03883	K00999	map01100	Metabolic pathways
Ag_03883	K00999	map04070	Phosphatidylinositol signaling system
Ag_03886	K02685	map03030	DNA replication
Ag_03891	K01647	map00020	Citrate cycle (TCA cycle)
Ag_03891	K01647	map00630	Glyoxylate and dicarboxylate metabolism
Ag_03891	K01647	map01100	Metabolic pathways
Ag_03891	K01647	map01110	Biosynthesis of secondary metabolites
Ag_03891	K01647	map01200	Carbon metabolism
Ag_03891	K01647	map01210	2-Oxocarboxylic acid metabolism
Ag_03891	K01647	map01230	Biosynthesis of amino acids
Ag_03893	K11584	map03015	mRNA surveillance pathway
Ag_03893	K11584	map04113	Meiosis - yeast
Ag_03894	K03283	map03040	Spliceosome
Ag_03894	K03283	map04141	Protein processing in endoplasmic reticulum
Ag_03894	K03283	map04144	Endocytosis
Ag_03896	K01113	map00790	Folate biosynthesis
Ag_03896	K01113	map01100	Metabolic pathways
Ag_03896	K01113	map01240	Biosynthesis of cofactors
Ag_03897	K01113	map00790	Folate biosynthesis
Ag_03897	K01113	map01100	Metabolic pathways
Ag_03897	K01113	map01240	Biosynthesis of cofactors
Ag_03900	K00234	map00020	Citrate cycle (TCA cycle)
Ag_03900	K00234	map00190	Oxidative phosphorylation
Ag_03900	K00234	map01100	Metabolic pathways
Ag_03900	K00234	map01110	Biosynthesis of secondary metabolites
Ag_03900	K00234	map01200	Carbon metabolism
Ag_03901	K12840	map03040	Spliceosome
Ag_03904	K17800	map04139	Mitophagy - yeast
Ag_03907	K02971	map03010	Ribosome
Ag_03923	K13239	map00071	Fatty acid degradation
Ag_03923	K13239	map04146	Peroxisome
Ag_03931	K17218	map00920	Sulfur metabolism
Ag_03933	K12183	map04144	Endocytosis
Ag_03934	K09448	map04011	MAPK signaling pathway - yeast
Ag_03938	K13507	map00561	Glycerolipid metabolism
Ag_03938	K13507	map00564	Glycerophospholipid metabolism
Ag_03938	K13507	map01100	Metabolic pathways
Ag_03938	K13507	map01110	Biosynthesis of secondary metabolites
Ag_03942	K03239	map03013	RNA transport
Ag_03953	K12200	map04144	Endocytosis
Ag_03955	K16066	map00240	Pyrimidine metabolism
Ag_03955	K16066	map00260	Glycine, serine and threonine metabolism
Ag_03955	K16066	map01100	Metabolic pathways
Ag_03957	K07252	map00510	N-Glycan biosynthesis
